"id"	"description"	"en"	"local"
""	""	"input"	"вхід"
""	""	"output"	"вихід"
""	""	"Name"	"Назва"
""	""	"Signal In"	"Сигнал В"
""	""	"The input signal to process."	"Вхідний сигнал для обробки."
""	""	"No description set."	"Опис не заданий."
""	""	"Width"	"Ширина"
""	""	"Length"	"Довжина"
""	""	"Don't show in inventory"	"Не відображати в інвентарі"
""	""	"Add Node"	"Додати Вузол"
""	""	"NODES"	"ВУЗЛИ"
""	""	"Use [lmb] to toggle pixels."	"Використовуйте [lmb], щоб змінити колір пікселя."
""	""	"SCHEMATIC"	"КРЕСЛЕННЯ"
""	""	"Drag logic nodes to reposition them. Click to focus."	"Зажміть і тягніть, щоб перемістити логічні вузли. Нажміть щоб виділити в списку."
""	""	"Some nodes are overlapping."	"Деякі вузли накладаються один на одного."
""	""	"Some nodes are outside the microcontroller."	"Деякі вузли за межами мікроконтроллеру."
""	""	"Logic"	"Логіка"
""	""	"Symbol"	"Символ"
""	""	"Movement"	"Пересування"
""	""	"Camera"	"Камера"
""	""	"Miscellaneous"	"Різне"
""	""	"Controller"	"Контролер"
""	""	"pad"	"майданчик"
""	""	"button"	"кнопка"
""	""	"axis"	"вісь"
""	""	"Left"	"Ліворуч"
""	""	"Right"	"Праворуч"
""	""	"Forward"	"Прямо"
""	""	"Backward"	"Назад"
""	""	"Jump/Swim Up"	"Стрибнути/Плисти Вверх"
""	""	"Crouch/Swim Down"	"Присісти/Плисти Вниз"
""	""	"Trim Menu"	"Меню Калібровки"
""	""	"Sprint"	"Бігти"
""	""	"Walk"	"Ходити"
""	""	"Interact Left"	"Взамодія Лівою Рукою"
""	""	"Interact Right"	"Взамодія Правою Рукою"
""	""	"Use Equipment"	"Використати Обладнання"
""	""	"Use Equipment Secondary Function"	"Вторинна Функція Обладнання"
""	""	"Drop Equipment"	"Викинути Обладнання"
""	""	"Cycle Next Equipment"	"Наступне Обладнання"
""	""	"Cycle Previous Equipment"	"Попереднє Обладнання"
""	""	"Use Seat/Ladder"	"Використати Сидіння/Драбину"
""	""	"Pedal Left"	"Ліва Педаль"
""	""	"Pedal Right"	"Права Педаль"
""	""	"Throttle Up"	"Додати Тяги"
""	""	"Throttle Down"	"Зменшити Тягу"
""	""	"Hotkey 1"	"Гаряча клавіша 1"
""	""	"Hotkey 2"	"Гаряча клавіша 2"
""	""	"Hotkey 3"	"Гаряча клавіша 3"
""	""	"Hotkey 4"	"Гаряча клавіша 4"
""	""	"Hotkey 5"	"Гаряча клавіша 5"
""	""	"Hotkey 6"	"Гаряча клавіша 6"
""	""	"Custom Menu"	"Креативні Інструменти"
""	""	"Photo Mode"	"Фото Режим"
""	""	"Zoom"	"Зум"
""	""	"Camera Mode"	"Режим Камери"
""	""	"Toggle Controls UI"	"Увімкнути керування інтерфейсом користувача"
""	""	"Emote Wheel"	"Колесо Емоцій"
""	""	"Player List"	"Список Користувачів на Сервері"
""	""	"Quick Chat"	"Швидкий Чат"
""	""	"Show detailed data labels"	"Відображати детальну інформацію блоків"
""	""	"Voice Chat"	"Голосовий Чат"
""	""	"Axis 1"	"Вісь 1"
""	""	"Axis 2"	"Вісь 2"
""	""	"Axis 3"	"Вісь 3"
""	""	"Axis 4"	"Вісь 4"
""	""	"Axis 5"	"Вісь 5"
""	""	"Axis 6"	"Вісь 6"
""	""	"Axis 7"	"Вісь 7"
""	""	"Axis 8"	"Вісь 8"
""	""	"Button"	"Кнопка"
""	""	"View Left"	"Подивитися Ліворуч"
""	""	"View Right"	"Подивитися Праворуч"
""	""	"View Down"	"Подивитися Вниз"
""	""	"View Up"	"Подивитися Вверх"
""	""	"Spawn Failed"	"Помилка Спавну"
""	""	"Spawned Mission"	"місія Визвана"
""	""	"New Mission"	"Нова Місія"
""	""	"### could not be spawned"	"### не вдалося викликати"
""	""	"No location set"	"Не встановлена локація"
""	""	"GAME MODE"	"ІГРОВИЙ РЕЖИМ"
""	""	"World Seed"	"Ключ Генерації"
""	""	"Difficulty"	"Складність"
""	""	"Normal"	"Нормальна"
""	""	"Survival"	"Виживання"
""	""	"Hardcore"	"Хардкор"
""	""	"Rogue"	"Перманентна Смерть"
""	""	"Custom"	"Кастомний"
""	""	"Game Mode"	"Ігровий Режим"
""	""	"Career"	"Кар'єра"
""	""	"Classic"	"Класика"
""	""	"Custom"	"Кастомний"
""	""	"CUSTOMISE DIFFICULTY"	"РЕДАГУВАТИ СКЛАДНІСТЬ"
""	""	"First Person Only"	"Тільки Від Першої Особи"
""	""	"Camera is locked to first person when on foot."	"Камера заблокована на виді від першого лиця, ви більше не можете переключитися на вид збоку."
""	""	"First Person Vehicle Only"	"Від Першої Особи Тільки в Транспорті"
""	""	"Camera is locked to first person in vehicles."	"Ви не можете переключитися на вид збоку коли керуєте або сидите в транспорті."
""	""	"Advanced Vehicles"	"Продвинутий Транспорт"
""	""	"Transmission pipes, fuel requirement, advanced engine mechanics."	"Труби, коробки передач, модульники, паливо, якщо коротко то режим для нормальних людей."
""	""	"Vehicle Damage"	"Пошкодження Транспорту"
""	""	"Vehicles can be damaged by the environment."	"Транспорт може бути пошкоджений при зіткненні або вибуху і тд."
""	""	"Player Damage"	"Пошкодження Граця"
""	""	"Survival mechanics such as player mortality and debuffs."	"Здоров'я, полоска кисню, пошкодження від фізичного впливу, холод, все те, чим ви насолоджуєтеся в житті, крім спраги і їжі, її немає, поки що."
""	""	"NPC Damage"	"Пошкодження НІП'ів"
""	""	"Survivors and NPCs have the same mortality as the player in survival mode."	"Виживші та не ігрові персонажі тепер теж можуть насолоджуватися смерттю, спекою, холодом і гіпоксією."
""	""	"Sharks"	"Акули"
""	""	"Sharks will attack you."	"Тепер в океані буде кому кусати вас за сраку ;)"
""	""	"Megalodons"	"Мегаладони"
""	""	"Megalodons will stalk and attack your vehicles."	"Подумайте про захист свого човна, або про його швидкість."
""	""	"Teleport Vehicles"	"Телепортація Транспорту"
""	""	"Teleport vehicles back to the workbench from the map."	"Можливість телепортувати транспорт хоч з кінця світу в ангар."
""	""	"Fast Travel"	"Швидкі Переміщення"
""	""	"Fast travel back to your base from the map."	"Можливість швидко телепортуватися між базами."
""	""	"Permadeath"	"Перма-Смерть"
""	""	"One save file that is wiped upon death."	"Ну помєр і помєр, чьо бубнєть та (Збереження буде видалене)."
""	""	"Limited Fuel"	"Лімітоване Паливо"
""	""	"Vehicles spawn with no fuel and must be refilled from fuel tanks around the world (only applies to advanced vehicles)."	"Вмикає існування палива і двигуни більше не можуть живитися енергією потойбіччя (тільки для режиму продвинутого транспорту)."
""	""	"First person Markers"	"Маркери від першої особи"
""	""	"Mission Markers for the First Person HUD."	"Маркери місій і ваші маркери тепер відображаються від першої особи, а не тільки на карті."
""	""	"Starting Money"	"Початкові Гроші"
""	""	"CUSTOMISE GAME MODE"	"РЕДАГУВАТИ ІГРОВИЙ РЕЖИМ"
""	""	"Unlock All Components"	"Розблокувати Всі Компоненти"
""	""	"Unlock All Bases"	"Придбати всі бази"
""	""	"All purchasable bases are pre-purchased."	"Всі бази доступні для купівлі придбані."
""	""	"Infinite Stock"	"Бескінечні Кишені"
""	""	"Infinite money, resources and components are available."	"Нескінченні гроші, ресурси та компоненти для будівництва."
""	""	"Creative Tools"	"Креативні Інструменти"
""	""	"Enable time/weather control menu, addon editor, mission spawn menu."	"Вмикає меню контролю погоди і часу, редактор аддонів, меню спавна місій."
""	""	"Day/Night Cycle (minutes)"	"Денний цикл (хвилини)"
""	""	"Daylight Hours"	"Денні Години"
""	""	"Clear"	"Очистити"
""	""	"Invert"	"Інвертувати"
""	""	"KEY/BUTTON"	"КЛАВІША"
""	""	"CURRENT BINDING"	"ПОТОЧНА ПРИВ'ЯЗКА"
""	""	"REBIND"	"ПЕРЕНАЗНАЧИТИ"
""	""	"(Press [esc] to cancel)"	"(Нажміть [esc], щоб відмінити)"
""	""	"Plus ### more..."	"Плюс ### більше..."
""	""	"Mission '###' has no name"	"Місія '###' немає назви"
""	""	"Mission '###' needs at least 1 objective"	"Місія '###' потребує хоча б 1 цілі"
""	""	"Cannot Edit ### With Passengers"	"Неможна Редагувати ### з Пасажирами"
""	""	"Cannot Edit ### When Carrying Someone"	"Постав людину на землю, щоб редакувати ###"
""	""	"PRESS [###] AGAIN TO REPLACE OR CHOOSE ANOTHER KEY"	"НАЖМІТЬ [###] ЗНОВУ, ЩОБ ЗАМІНИТИ АБО ВИБРАТИ ІНШУ КЛАВІШУ"
""	""	"[###] is reserved for showing/hiding the profiler"	"[###] зарезервована для ""показати/сховати профайлер"""
""	""	"[###] is a reserved key"	"[###] є зарезервованою клавішею"
""	""	"Mission '###' must be renamed to something other than '###'"	"Місія '###' має бути названа інакше як '###'"
""	""	"Objective ### in mission '###' has no name"	"Ціль ### в місії '###' не має назвм"
""	""	"Objective ### in mission '###' has no description"	"Ціль ### в місії '###' немає опису"
""	""	"Objective ### in mission '###' has unfulfilled component dependencies"	"Ціль ### в місії '###' має невиконані компонентні залежності"
""	""	"### is already bound to [###]"	"### уже назначено на [###]"
""	""	"### is bound to [###]"	"### назначено на [###]"
""	""	"Starter Base"	"Початкова База"
""	""	"Features a small dock."	"Включає маленький морський док."
""	""	"Creative Base"	"Креативна База"
""	""	"Features a hangar, large dock, and runway."	"Має великий морський док, ангар, та взлітну смугу."
""	""	"Helicopter Base"	"Гелікоптерна База"
""	""	"Features a hangar and helipad."	"Має маленький ангар та гелікоптерний посадковий майданчик, якщо постараєтесь то й літак там зробите."
""	""	"O'Neill Airbase"	"Аеропорт ім. С.Бандери"
""	""	"An airstrip on the North-East side of the Sawyer Islands."	"Взлітна смуга розташована в Північно-Східній частині Sawyer Islands, великий ангар в комплекті."
""	""	"Sawyer Islands' South-East Fishing Village"	"Південно-Східне Рибацьке Поселення Sawyer Islands"
""	""	"A cosy fishing village with a dock on the South side of the Sawyer Islands."	"Маленьке рибацьке поселення з доком неподалік."
""	""	"Harrison Airbase"	"Аеропорт ім. С.Притули"
""	""	"An airstrip on the North-West side of the Sawyer Islands."	"Взлітна смуга розташована в Півнізно-Західній частині Sawyer Islands, великий ангар в комплекті."
""	""	"Sawyer Islands' North Harbour"	"Північна Гавань Sawyer Islands"
""	""	"A harbour with railway access on the North coast of the Sawyer Islands."	"База на Півночі Sawyer Islands, має великий морський док та залізничну станцію з ангарами для потягів."
""	""	"Harbour Base"	"Вантажна База"
""	""	"Harbour base, large dock."	"Вантажна База на маленькому остірці, має великий морський док."
""	""	"Airstrip Base"	"Аеропорт"
""	""	"Features a hangar and runway."	"Маленький аеропорт посеред океану з взлітною смугою та маленьким ангаром."
""	""	"Military Base"	"Військова База"
""	""	"A small military establishment with a hangar, barracks and runway."	"Маленька воєнна база на острові з великим ангаром"
""	""	"Terminal Spycakes"	"Термінал Шпигунські млинці"
""	""	"Large dock and small village with various access routes to the island."	"Великий док і маленьке село з різними під'їзними шляхами до острова."
""	""	"Mainland Airstrip"	"Материкова злітно-посадкова смуга"
""	""	"Old hangar with airstrip and a small village."	"Старий ангар зі злітно-посадковою смугою і невелике селище."
""	""	"Terminal Camodo"	"Термінал Камодо"
""	""	"Train yard and shipping terminal at the end of the key."	"Залізничний двір і судноплавний термінал в кінці ключа."
""	""	"Trainline Island 1"	"Острів Trainline 1"
""	""	"A curved section of trainline that passes over a small uninhabited island."	"Вигнута ділянка залізничної лінії, яка проходить над невеликим безлюдним островом."
""	""	"Trainline Island 2"	"Острів Trainline 2"
""	""	"A diagonal section of trainline that passes over several small islands."	"Діагональна ділянка залізничної лінії, яка проходить над кількома невеликими островами."
""	""	"Trainline Island 3"	"Залізнична лінія Острів 3"
""	""	"A straight section of trainline that passes over several small islands."	"Пряма ділянка залізничної лінії, яка проходить над кількома невеликими островами."
""	""	"Custom Base Submarine"	"Спеціальна база підводного човна"
""	""	"Features a large cave with water access, and a large area for base construction."	"Має велику печеру з доступом до води та велику територію для будівництва бази."
""	""	"Custom Base Heli"	"Спеціальна база Heli"
""	""	"An inaccessible plateau, perfect for landing helicopters or base construction."	"Важкодоступне плато, ідеально підходить для посадки вертольотів або будівництва бази."
""	""	"Custom Base Large Boat"	"Спеціальний базовий великий човен"
""	""	"A weathered bank ideal for docking large boats, with a flat area for base construction."	"Вивітрений берег ідеально підходить для пришвартування великих човнів, з рівною територією для будівництва бази."
""	""	"Custom Base Small Boat"	"Спеціальний базовий невеликий човен"
""	""	"Features a small cave with water access and a flat area for base construction."	"Має невелику печеру з доступом до води та рівну територію для будівництва основи."
""	""	"Custom Base Oil Rig (Large)"	"Спеціальна базова нафтова вишка (велика)"
""	""	"The base of a large, disused oil rig, ready for building a new platform."	"База великої, занедбаної нафтової вишки, готової для будівництва нової платформи."
""	""	"Arctic Island Base"	"Арктична острівна база"
""	""	"A huge airfield and shipping dock base."	"Величезний аеродром і судноплавна докова база."
""	""	"Sell"	"Продати"
""	""	"Buy"	"Купити"
""	""	"Invalid Fluid Type"	"Недійсний Тип Рідини"
""	""	"Diesel"	"Дизель"
""	""	"Jet Fuel"	"Реактивне Паливо"
""	""	"Crude Oil"	"Сира Нафта"
""	""	"litre"	"літри"
""	""	"Mission"	"Місія"
""	""	"(Spawned missions can be despawned by selecting them and clicking 'Remove Mission')"	"(Активні місії можуть бути деактивовани якщо вибрати їх та натиснути 'Деактивувати Місію')"
""	""	"Removed Mission"	"Деактивовані Місії"
""	""	"Red"	"Червоний"
""	""	"Green"	"Зелений"
""	""	"Blue"	"Синій"
""	""	"Apply"	"Застосувати"
""	""	"Exit"	"Вийти"
""	""	"Randomise"	"Випадкове"
""	""	"Complete"	"Готово"
""	""	"Gender"	"Стать"
""	""	"Skin Color"	"Колір Шкіри"
""	""	"Hair Style"	"Волосся"
""	""	"Hair Color"	"Колір Волосся"
""	""	"Eyebrows"	"Брови"
""	""	"Moustache"	"Вуса"
""	""	"Beard"	"Борода"
""	""	"Shirt"	"Сорочка"
""	""	"Shirt Color"	"Колір Сорочки"
""	""	"Trousers"	"Штани"
""	""	"Trouser Color"	"Колір Штанів"
""	""	"Shoes"	"Взуття"
""	""	"Shoe Color"	"Колір Взуття"
""	""	"Hat"	"Шляпа"
""	""	"Hat Color"	"Коліш Шляпи"
""	""	"Glasses"	"Окуляри"
""	""	"Glasses Color"	"Колір Окулярів"
""	""	"Mask"	"Маска"
""	""	"Mask Color"	"Колір Маски"
""	""	"Clothes"	"Одяг"
""	""	"Clothing Color"	"Колір Одягу"
""	""	"Character"	"Персонаж"
""	""	"Hair"	"Волосся"
""	""	"Base Clothes"	"Стандартний Одяг"
""	""	"Extra Clothes"	"Додатковий Одяг"
""	""	"Male"	"Чоловік"
""	""	"Female"	"Жінка"
""	""	"Bald"	"Немає"
""	""	"Male Hair 1"	"Волосся 1"
""	""	"Male Hair 2"	"Волосся 2"
""	""	"Male Hair 3"	"Волосся 3"
""	""	"Male Hair 4"	"Волосся 4"
""	""	"Male Hair 5"	"Горщик"
""	""	"Male Hair 6"	"Волосся 6"
""	""	"Female Hair 1"	"Хвостик"
""	""	"Female Hair 2"	"Афро"
""	""	"Female Hair 3"	"Довге"
""	""	"Female Hair 4"	"Пряме"
""	""	"Female Hair 5"	"Коса"
""	""	"Female Hair 6"	"Коротка Коса"
""	""	"Female Hair 7"	"Коротке"
""	""	"Eyebrows 1"	"Злі"
""	""	"Eyebrows 2"	"Засмучені"
""	""	"Eyebrows 3"	"Прості"
""	""	"Eyebrows 4"	"Прямі"
""	""	"Moustache 1"	"Козацькі"
""	""	"Moustache 2"	"Сталін"
""	""	"Moustache 3"	"Прості"
""	""	"Moustache 4"	"Пишні"
""	""	"Moustache 5"	"Француз"
""	""	"Beard 1"	"Байкерська"
""	""	"Beard 2"	"Пишна"
""	""	"Beard 3"	"Охайна"
""	""	"Beard 4"	"Козячя"
""	""	"Beard 5"	"Коротка"
""	""	"Tank top"	"Без рукавів"
""	""	"T-shirt"	"Футболка"
""	""	"Long Sleeves"	"З довгими рукавами"
""	""	"Crop top"	"Торс"
""	""	"Shorts"	"Шорти"
""	""	"High Waist"	"Комічно Високі Штани"
""	""	"Boots"	"Чоботи"
""	""	"Beanie"	"Зимова"
""	""	"Captain"	"Капітанська"
""	""	"Fisherman"	"Рибальська"
""	""	"Hard hat"	"Каска"
""	""	"Headset"	"Навушники"
""	""	"Aviator"	"Пілотка"
""	""	"Pirate"	"Піратська"
""	""	"Shark"	"Акула"
""	""	"Megalodon"	"Мегаладон"
""	""	"Animal"	"Тварина"
""	""	"Penguin"	"Пінгвін"
""	""	"Seal"	"Морський Котик"
""	""	"Whale"	"Кит"
""	""	"Beer"	"Пивас"
""	""	"Pilot"	"Шолом Пілота"
""	""	"Umbrella"	"Парасолька"
""	""	"Diving Helmet"	"Дайверський Шолом"
""	""	"Witch"	"Відьомський Капелюх"
""	""	"Pumpkin"	"Гарбуз"
""	""	"Santa"	"Санти"
""	""	"Antlers"	"Роги"
""	""	"Aviators"	"Авіаторні"
""	""	"Goggles"	"Окуляри"
""	""	"Eye patch"	"Пов'язка"
""	""	"Snorkel"	"Дофіга Дайвер"
""	""	"Gas mask"	"Респіратор"
""	""	"Pilot mask"	"Маска Пілота"
""	""	"Life Jacket"	"Жилет Рятувальника"
""	""	"Lab Coat"	"Лабараторна Сорочка"
""	""	"Police Vest"	"Поліцейський Жилет"
""	""	"Stethoscope"	"Стетоскоп"
""	""	"Straps"	"Ременці"
""	""	"Hazmat Suit"	"Костюм хімзахисту"
""	""	"Aviator Jacket"	"Куртка Льотчика"
""	""	"Pilot Life Preserver"	"Pilot Life Preserver (Придумайте Назву)"
""	""	"Zombie"	"Зомбі"
""	""	"Skeleton"	"Скелет"
""	""	"CUSTOM OPTIONS"	"КРЕАТИВНІ ОПЦІЇ"
""	""	"Override Time"	"Налаштування Часу"
""	""	"Clean All Vehicles"	"Видалити Весь Транспорт"
""	""	"Vehicle Cleanup"	"Видалити Транспорт"
""	""	"Respawning"	"Переродження"
""	""	"Vehicle Spawning"	"Створення Транспорту"
""	""	"Teleport"	"Телепортація"
""	""	"No-Clip"	"Без колізії"
""	""	"Name Plates"	"Відображення Нікнеймів"
""	""	"Allow "	"Дозволити"
""	""	"3D Waypoints"	"3D Вказівники"
""	""	"Map Vehicles"	"Маркер Транспорту на Карті"
""	""	"Map Players"	"Мітка Гравців на Карті"
""	""	"Engine Overheating"	"Перегрів Двигунів"
""	""	"Disable Weapons"	"Вимкнути Зброю"
""	""	"Infinite Ammo"	"Безкінечні Набої"
""	""	"Infinite Fuel"	"Безкінечне Паливо"
""	""	"Infinite Electric"	"Безкінечна Електроенергія"
""	""	"Infinite Resources"	"Нескінченні Ресурси"
""	""	"Sunrise/Sunset Time"	"Схід/Захід Сонця"
""	""	"Day/Night Duration"	"Співвідношення Дня до Ночі"
""	""	"Current Time"	"Час Доби"
""	""	"Off"	"Вимкнуте"
""	""	"On"	"Вмикнуте"
""	""	"Override Weather"	"Налаштування Погоди"
""	""	"Fog"	"Туман"
""	""	"Wind"	"Вітер"
""	""	"Rain"	"Дощ"
""	""	"Snow"	"Сніг"
""	""	"Spawn Tsunami"	"Викликати Тцунамі"
""	""	"Cancel Tsunami"	"Відмінити Тцунамі"
""	""	"Reveal the Map"	"Відкрити всю Карту"
""	""	"TRIM"	"ТРІМ"
""	""	"wave"	"Помахати"
""	""	"yes"	"Так!"
""	""	"no"	"Ні!"
""	""	"salute"	"Віддати честь"
""	""	"point"	"Туди!"
""	""	"going down"	"Вниз (Пропонуйте Назву)"
""	""	"facepalm"	"Фейспалм"
""	""	"crash and burn"	"Не дуже вдала посадка"
""	""	"take on me"	"Танцювати"
""	""	"STOCK"	"ЗАПАС"
""	""	"Unknown Component"	"Невідомий Компонент"
""	""	"RESEARCH"	"ДОСЛІДЖЕННЯ"
""	""	"REWARD RECEIVED"	"НАГОРОДА ОТРИМАНА"
""	""	"RESEARCH COMPLETE"	"ДОСЛІДЖЕННЯ ЗАВЕРШЕНО"
""	""	"COMPLETED MISSION"	"ЗАВЕРШЕНІ МІСІЇ"
""	""	"LOADING"	"ЗАВАНТАЖЕННЯ"
""	""	"DECEASED"	"ПОКІЙНИЙ"
""	""	"Quit To Menu"	"Вийти в Меню"
""	""	"Your rogue mode game has ended."	"Ваш рогаличний (Rogue-Like) сейв завершено."
""	""	"End date"	"Дата закінчення"
""	""	"Total playtime"	"Загальний час гри"
""	""	"Missions completed"	"Місій завершено"
""	""	"Missions failed"	"Місій провалено"
""	""	"Total loot found"	"Всього здобичі знайдено"
""	""	"Final money"	"Грошей залишилося"
""	""	"Your rogue mode save has been permanently deleted. Click below to return to the main menu."	"Ваше збереження було видалено. Натисніть нижче, щоб повернутися до меню і не засмучуйтесь!"
""	""	"COMPONENT"	"КОМПОНЕНТ"
""	""	"No missions available. Sleep in a bed to fast-forward to the next mission."	"Немає доступних місій. Поспіть, щоб дочекатися нової місії."
""	""	"MISSION SELECTOR"	"ВИБІР МІСІЇ"
""	""	"Save name"	"Назва збереження"
""	""	"MENU"	"МЕНЮ"
""	""	"Resume"	"Відновити"
""	""	"Save"	"Зберегти"
""	""	"Load"	"Завантажити"
""	""	"Time of Day/Weather"	"Час доби/Погода"
""	""	"Addon Editor"	"Редактор Аддонів"
""	""	"DELETE SAVE DATA"	"ВИДАЛИТИ ЗБЕРЕЖЕНІ ДАНІ"
""	""	"Are you sure you want to delete this save data?"	"Ви дійсно хочете видалити ці збережені дані?"
""	""	"QUIT TO MENU"	"ВИЙТИ В МЕНЮ"
""	""	"Are you sure you want to quit to the main menu? Your progress will be saved."	"Ви впевнені, що хочетет вийтид до головного меню? Ваш прогрес буде збережено."
""	""	"UNSAVED PROGRESS"	"НЕЗБЕРЕЖЕНИЙ ПРОГРЕС"
""	""	"Do you want to save your game before quitting?"	"Ви хочете зберегти ваш прогрес перед виходом?"
""	""	"Autosaved progress may be lost if you start a new game."	"Автозбереження можуть бути перезаписані в іншій грі."
""	""	"Save and Quit"	"Зберегти і Вийти"
""	""	"Quit Without Saving"	"Вийти не Зберігаючи"
""	""	"RETURN TO ADDON EDITOR"	"ВЕРНУТИСЯ В РЕДАКТОР АДДОНІВ"
""	""	"You are currently testing a mission.\n\nReturning to the addon editor will despawn all vehicles and objects associated with the mission.\n\nAre you sure you want to return to the addon editor?"	"You are currently testing a mission.\n\nReturning to the addon editor will despawn all vehicles and objects associated with the mission.\n\nВи впевнені, що хочете вернутися в редактор аддонів?"
""	""	"Are you sure you want to disconnect from this server?"	"Ви впевнені, що хочете відключитися від цього серверу?"
""	""	"Are you sure you want to quit to the main menu?"	"Ви впевнені, що хочете вийти в головне меню?"
""	""	"Field of View"	"Поле зору (FOV)"
""	""	"Roll With Player"	"Синхронізувати Нахил з Гравцем"
""	""	"Camera Roll"	"Нахил Камери"
""	""	"Hide Player"	"Сховати Персонажа"
""	""	"Contrast"	"Контраст"
""	""	"Color Mode"	"Кольорова Палітра"
""	""	"Time of Day"	"Час Доби"
""	""	"Border"	"Обрамлення"
""	""	"Logo"	"Лого"
""	""	"Logo Color"	"Колір Лого"
""	""	"Vignette"	"Фільтр Кутів"
""	""	"Vignette Distance"	"Дистанція Фільтру"
""	""	"Vignette Strength"	"Сила Фільтру"
""	""	"Film Grain"	"Білий Шум"
""	""	"Film Grain Strength"	"Сила Білого Шуму"
""	""	"Colorise"	"Палітра Кольорів"
""	""	"Top Left"	"Лівий Верх"
""	""	"Top Middle"	"Зверху по центру"
""	""	"Top Right"	"Правий Верх"
""	""	"Bottom Left"	"Лівий Низ"
""	""	"Bottom Middle"	"Знизу по центру"
""	""	"Bottom Right"	"Правий Низ"
""	""	"White"	"Білий"
""	""	"Grey"	"Сірий"
""	""	"Black"	"Чорний"
""	""	"Orange"	"Помаранчевий"
""	""	"Letter Boxed"	"Прямокутне"
""	""	"Square"	"Квадратне"
""	""	"Instant"	"Фото картка"
""	""	"Black and White"	"Чорно-Білий"
""	""	"Sepia"	"Висвітлене Фото"
""	""	"Cyan"	"Блакитний"
""	""	"Cross Process 1"	"Перехресний процес 1"
""	""	"Cross Process 2"	"Перехресний процес 2"
""	""	"Cross Process 3"	"Перехресний процес 3"
""	""	"Grey/Green"	"Сірий/Зелений"
""	""	"Original Color"	"Оригінальний Колір"
""	""	"rotate camera"	"повертати камеру"
""	""	"move camera"	"рухати камеру"
""	""	"Crane up"	"Вверх"
""	""	"Crane down"	"Вниз"
""	""	"reset"	"скинути"
""	""	"hide ui"	"приховати інтерфейс"
""	""	"pause/unpause"	"пауза/зняти паузу"
""	""	"properties"	"властивості"
""	""	"mass"	"маса"
""	""	"force"	"сила"
""	""	"power"	"енергія"
""	""	"range"	"дистанція"
""	""	"motor"	"мотор"
""	""	"motorspeed"	"швидкість мотору"
""	""	"logic inputs"	"логічні входи"
""	""	"logic outputs"	"логічні виходи"
""	""	"connections"	"підключення"
""	""	"LOGIC OUTPUT"	"ЛОГІЧНИЙ ВИХІД"
""	""	"LOGIC INPUT"	"ЛОГІЧНИЙ ВХІД"
""	""	"Connect outputs to one or more inputs. Drag over an existing connection to remove it."	"З'єднайте вихід з одним або декількома входами. Проведіть з'єднання поверх наявного, щоб його прибрати."
""	""	"NODE"	"ВУЗОЛ"
""	""	"On/Off"	"Вмик/Вимк"
""	""	"This logic node doesn't have a description yet"	"Цей логічний вузол наразі не має опису"
""	""	"change drag plane"	"Зміна площини опору"
""	""	"Reset Camera"	"Початкове Положення Камери"
""	""	"Orbit Mode"	"Орбіта"
""	""	"Free Mode"	"Вільний"
""	""	"Brush"	"Пензлель"
""	""	"Additive"	"Пристрої"
""	""	"Replace Color"	"Заміна Кольору"
""	""	"Plane Fill"	"Заповнення Поверхні"
""	""	"Custom Colors"	"Своя Палітра"
""	""	"Add To Custom Color"	"Додати до Своєї Кольорів"
""	""	"PAINT MODE"	"РЕЖИМ ФАРБУВАННЯ"
""	""	"Change paint mode settings."	"Змінити режим фабрування."
""	""	"MOVE GRID"	"ПРЕМІСТИТИ СІТКУ"
""	""	"Move the selection grid."	"Перемістити сітку вибору."
""	""	"RESIZE GRID"	"ЗМІНИТИ РОЗМІР СІТКИ"
""	""	"Resize the selection grid."	"Змінити розмір сітки вибру."
""	""	"RESET GRID"	"СКИНУТИ РОЗМІР СІТКИ"
""	""	"Reset the selection grid to its default size."	"Скидає розмір сітки вибору до стандартного."
""	""	"MOVE/CUT"	"ПЕРЕМІСТИТИ/ВИРІЗАТИ"
""	""	"Cut the contents of the selection grid from your vehicle. Logic links to other parts of your vehicle will be preserved the first time you paste."	"Вирізає вміст в сітці виділення з вашого транспорту. Логічні з'єднання до інших частин вашого транспорту будуть збережені після першого вставлення."
""	""	"CUT"	"ВИРІЗАТИ"
""	""	"Copy the current selection to the clipboard and remove it."	"Копіювати вміст в сітці вибору в буфер обміну і видалити його (Ну як вирізання працює в Віндовсі, ви ж знаєте)"
""	""	"COPY"	"КОПІЮВАТИ"
""	""	"Copy the current selection to the clipboard."	"Копіювати вибране в буфер обміну."
""	""	"Copy the contents of the selection grid."	"Копіювати вміст в сітці вибору."
""	""	"LOAD CONTENT"	"ЗАВАНТАЖИТИ ВМІСТ"
""	""	"Load a subassembly into the selection grid."	"Завантажити вміст з збереженого в сітку вибору."
""	""	"PASTE"	"ВСТАВИТИ"
""	""	"Paste the contents of the clipboard."	"Вставити вміст з буферу обміну."
""	""	"Paste the contents of the selection grid onto your vehicle. Pasted components will have their own bodies and must be merged to attach them to your vehicle."	"Вставити вміст сітки вибору в ваш транспорт. Компоненти з сітки будуть окремими об'єктами і будуть мати свою фізику, тому вам треба буде їх зв'язати ЗЛИТТЯМ."
""	""	"CLEAR EXTERNAL LOGIC"	"ВІД'ЄДНАТИ ВІД ЗОВНІШНІХ ВУЗЛІВ"
